,W,SI,SB,S,RB,PL,JO,NG,LH,QS,CO,LC,KW,KC,LX,LT,LN,LL,LP,LA,HO,GC,FC,CT,CL,CC,C
29,0.001349397,-0.013262439,-0.044715691,0.001265279,0.029048338,-0.016174564,-0.006911749,-0.017934819,-0.033103676,0.005008266,0.022313824,-0.007298174,0.004795797,-0.03137654,-0.014950803,-0.005479074,-0.004951068,-0.018769411,-0.005130346,-0.00125254,0.018961688,-0.005943217,-0.005664958,0.010353719,0.029097202,-0.024688366,0.005677938
30,-0.009777374,-0.003238173,-0.019602103,0.00684069,-0.001087947,0.019091586,-0.013554849,0.025661485,-0.021370147,-1.77E-05,0.002926583,0.000365502,-0.004732462,0.007705605,-0.006819224,-0.002168661,-0.005013604,-0.014561504,-0.008824953,-0.018414114,-0.006675571,-0.023157271,-0.002927374,-0.026508644,-0.006192447,0.011795917,0.001785419
31,-0.002784324,0.010491675,-0.037042631,-0.002674749,0.01378338,0.026015664,-0.005727082,-0.011030544,0.021907957,0.012230031,0.006858453,0.004053366,-0.003147146,-0.008226121,0.012665501,-0.003579586,0.004598732,0.007059722,-0.005049593,-0.009915285,0.011790122,0.002398329,0.003260929,-0.001208731,0.006205957,0.018953688,0.002173249
32,-0.007852208,-0.003329529,0.023970436,0.002718014,-0.014996276,-0.023228982,0.00296486,0.036760787,-0.006764002,-0.013113136,-0.023300141,0.004370366,-0.005139366,0.010035435,0.004876547,-0.002520627,0.024384866,0.004224828,0.00681216,0.002594959,-0.017847643,-0.003386618,0.006956285,0.008763933,-0.025126974,0.013867153,-0.00342577
33,0.006779253,0.00322805,-0.008591531,0.013713458,-0.017402104,-0.04982605,-0.018476589,-0.011450337,0.00546268,-0.011136254,-0.012613884,-0.002990409,0.004133595,-0.018953735,0.000750576,0.004001298,-0.006011979,0.001717501,0.000443291,0.006013581,-0.002552302,0.01196516,-0.0038326,0.030248168,-0.000682465,0.006348125,-0.00485431
34,-0.0094456,-0.002090717,0.016776751,-0.004941887,0.017142039,0.010999944,0.01315958,-0.03815846,0.008019321,-0.019204621,0.017112499,-0.013261922,-0.004180325,-0.018965121,-0.006889253,-0.001332593,0.030030859,-0.005675414,-0.009730812,-0.005267198,-0.001833043,0.00077657,-0.010538213,0.021538337,0.017564412,-0.027616002,-0.005393835
35,-0.0251529,-0.001736615,0.003073216,-0.027131414,0.013043992,-0.073121523,4.70E-05,0.004345041,-0.026291632,0.016954993,0.009624758,0.006529841,-0.0211342,0.005973786,0.005197199,-0.011276736,0.000167837,0.006249554,0.015454399,0.003717071,0.020189094,-0.014262226,0.005780033,-0.009485876,0.018467421,0.016969657,-0.020283847
36,0.003845027,-0.0175344,-0.006203393,0.011194421,0.015142157,-0.0098021,0.013727127,0.006564515,0.013891152,0.008037752,0.008753667,0.01036206,-0.001049713,-0.016133481,0.002596882,0.002672281,-0.012560411,-0.002273663,0.006630777,0.008780535,0.019748855,-0.005784996,0.007371838,-0.004946935,0.023716041,-0.018117651,0.007125409
37,-0.031433703,-0.02499632,-0.041004224,-0.016963838,0.019290577,-0.033989134,0.029822835,0.025448151,0.011769321,0.031186832,-0.00295737,0.006076502,-0.030867289,-0.038682016,-0.004280783,-0.002603197,0.002759638,0.000951954,-0.021851078,-0.00555382,0.020383062,-0.0228688,0.002264475,-0.026966902,0.008972305,-0.040815877,-0.013641794
38,-0.016135479,0.004077768,-0.018864675,-0.003171453,0.022339329,0.029943034,-0.009961435,0.028137282,0.012918136,-0.005265763,-0.000102959,0.002894843,-0.014272846,0.029645962,-0.034851642,0.000200162,-0.05444705,-0.01245448,-0.046513361,-0.033116033,-0.008137451,-0.002252822,0.00893606,0.011164129,-0.010809107,0.009002619,-0.008452544
39,0.010738197,0.001570614,0.021128173,0.010100777,0.006011823,0.011800696,-0.039819971,0.027759839,-0.004013728,0.015704269,0.019701545,-0.003185515,0.007701568,-0.013780976,0.015184562,-0.005489248,0.021340963,-0.008997634,-0.008411987,-0.012007911,0.007601786,0.000693224,-0.003784942,-0.016824405,0.011250279,0.015234806,0.014276496
40,0.006829209,0.008017086,0.021033561,-0.008680856,0.060693476,-0.007401396,0.011034172,0.021552173,0.00070791,0.018347737,0.041212944,0.010286541,0.000675957,0.015623695,0.047185726,0.006657384,0.076155971,0.030129317,0.026183855,0.023521574,0.041839233,-0.002173317,0.00545843,0.054276438,0.044794991,0.013917701,-0.003454766
41,-0.004738801,-0.014085036,-0.026184924,0.008649041,-0.003305923,-0.029334702,0.009133145,-0.009727332,0.002545417,0.014356174,0.003529003,0.007800647,-0.005178013,0.038201302,-0.002427342,0.005788259,-0.028294857,-0.011186659,-0.014048458,-0.007195763,-0.001802684,-0.012435404,0.004592062,-0.01096279,-0.001861297,0.043798899,0.004060145
42,-0.00214745,0.014386567,0.018275076,0.004268376,-0.013439195,0.020918912,-0.010940517,0.010710023,0.019099529,-0.007580505,-0.005851335,0.005772418,0.0007245,-0.007981161,0.000437617,0.003001519,-0.003724239,-0.006807751,0.004559956,-0.001523976,-0.007821136,0.001047269,0.002060621,0.007064904,-0.004416522,0.026696466,0.004703301
43,0.009106936,-0.006447845,-0.002660903,0.008655969,0.008303036,0.003488266,-0.011932757,0.00661664,0.014405225,0.00670332,0.021809243,-0.000923338,0.005756666,0.014315853,0.006863913,0.008712924,0.017052505,0.001993231,0.005228522,0.000759982,0.007309921,-0.001508629,-0.000730107,0.006419739,0.02325171,-0.000978396,0.015121418
44,-0.003269444,0.003988278,0.002836381,-0.010916051,0.033087121,0.010829548,-0.008929845,-0.021530911,-0.011620918,0.05554736,0.070631676,-0.006282392,-0.002231772,0.016384404,0.003464141,-0.00399728,-0.000855988,-0.008492357,-0.011147674,-0.00698993,0.033677831,0.016517599,-0.004283808,0.008484464,0.056690652,0.016332508,-0.015635664
45,0.011699161,0.001969925,0.013628403,0.005441345,-0.063211419,0.00111796,0.009000098,-0.034157058,-0.00226242,-0.022316054,-0.086090776,-0.000962898,0.012009456,-0.003234273,-0.000430085,-0.012094372,-0.003062446,-0.007441241,-0.012223197,-0.014768855,-0.083496181,-0.011133348,-0.001542221,0.020964736,-0.082857846,0.002995246,0.005307276
46,0.00552651,0.003200479,0.008319791,0.002117264,0.034993831,0.00155541,0.008932946,0.023224002,0.019098573,-0.062434231,0.006465444,0.001549654,0.008850545,-0.006013234,0.01343737,-0.002943909,0.015136943,0.007851274,0.015684127,0.006953195,0.012108759,0.00786866,-0.000529516,0.004993986,0.013203491,-0.011078245,0.003851775
47,-0.011547955,-0.007192777,0.012877074,-0.013823798,-0.002333645,0.002927525,-0.010347228,-0.008762625,0.019369713,0.006086829,-0.01617558,0.000333454,-0.012405063,-0.010594049,-0.013498354,-0.004575208,-0.001449586,-0.003792677,-0.002325477,0.00486983,-0.021759747,-0.008332243,-0.00021352,0.008016274,-0.001910224,-0.004395381,-0.001766245
48,0.012415809,-0.0012347,0.037363441,0.025362275,-0.007257521,0.011894489,0.001050979,0.028542638,-0.003723943,-0.009201098,0.003141472,-0.002248688,0.007724469,0.003178282,-0.0068736,-0.010311222,-0.028576268,-0.007518849,-0.009790695,-0.004042016,0.00604637,0.003737117,-0.007367983,-0.0086355,0.003064806,0.023121966,0.018158963
49,0.028760498,0.00770614,-0.027140108,0.014689287,-0.024127117,0.000980291,0.015983136,-0.01594451,-0.002179448,-0.021391305,-0.003951597,0.0002107,0.026754173,-0.031480342,0.004166061,-0.004189205,-0.020581028,-0.00420475,0.018218382,0.013299657,-0.022139443,-0.006139703,-0.008484389,0.002478305,-0.013502079,0.017078062,0.032813848
50,-0.007440628,0.008557339,-0.00395161,-0.010665992,-0.031178927,0.002166845,0.020237328,0.015974383,-0.004325568,-0.032299644,-0.021778722,0.003705271,-0.00397603,0.008111452,-0.004296608,-0.013939927,0.005237268,0.000707108,0.001652815,-0.001233795,-0.022435835,0.000916452,0.002666004,-0.003992662,-0.023040063,0.01703588,-0.010169907
